jira-id,description,priority,component,module
JIRA-1,Schema migration causing backward compatibility issue,High,Frontend,PlatformService
JIRA-2,Database deadlock issue,Critical,Backend,PlatformService
JIRA-3,Billing API returning incorrect invoice amount,Low,Infrastructure,PlatformService
JIRA-4,Authentication failure when logging in,Low,Infrastructure,PlatformService
JIRA-5,Intermittent data sync issue in Data Platform,Medium,Backend,PlatformService
JIRA-6,Platform service crash on high load,Critical,Backend,PlatformService
JIRA-7,Billing API returning incorrect invoice amount,Critical,Security,PlatformService
JIRA-8,Payment setup failure for new users,Low,API,PlatformService
JIRA-9,Intermittent data sync issue in Data Platform,Medium,Frontend,PlatformService
JIRA-10,API response time exceeding SLAs,High,Infrastructure,PlatformService
JIRA-11,Database deadlock issue,High,Infrastructure,PlatformService
JIRA-12,API response time exceeding SLAs,Medium,Backend,PlatformService
JIRA-13,Intermittent data sync issue in Data Platform,Medium,Infrastructure,PlatformService
JIRA-14,Authentication failure when logging in,Medium,Backend,PlatformService
JIRA-15,API response time exceeding SLAs,Critical,Security,PlatformService
JIRA-16,Schema migration causing backward compatibility issue,Medium,API,PlatformService
JIRA-17,Schema migration causing backward compatibility issue,Critical,Frontend,PlatformService
JIRA-18,Intermittent data sync issue in Data Platform,Low,Database,PlatformService
JIRA-19,Registration form validation error,Medium,API,PlatformService
JIRA-20,Authentication failure when logging in,Medium,Database,PlatformService
JIRA-21,Data pipeline job failure in ETL,Critical,Frontend,PlatformService
JIRA-22,Data pipeline job failure in ETL,High,Security,PlatformService
JIRA-23,Registration form validation error,Low,Database,PlatformService
JIRA-24,Payment setup failure for new users,High,Backend,PlatformService
JIRA-25,API response time exceeding SLAs,Critical,Infrastructure,PlatformService
JIRA-26,Registration form validation error,High,API,PlatformService
JIRA-27,Billing API returning incorrect invoice amount,Critical,Frontend,PlatformService
JIRA-28,API response time exceeding SLAs,Medium,Frontend,PlatformService
JIRA-29,Database deadlock issue,Low,Security,PlatformService
JIRA-30,API response time exceeding SLAs,High,Backend,PlatformService
JIRA-31,Database deadlock issue,Medium,Infrastructure,PlatformService
JIRA-32,Data pipeline job failure in ETL,Medium,Backend,PlatformService
JIRA-33,Payment setup failure for new users,Medium,Infrastructure,PlatformService
JIRA-34,Data pipeline job failure in ETL,Low,Backend,PlatformService
JIRA-35,Schema migration causing backward compatibility issue,Medium,API,PlatformService
JIRA-36,Authentication failure when logging in,Medium,Database,PlatformService
JIRA-37,Payment setup failure for new users,Low,API,PlatformService
JIRA-38,Authentication failure when logging in,Medium,Security,PlatformService
JIRA-39,Platform service crash on high load,Medium,API,PlatformService
JIRA-40,Platform service crash on high load,High,Security,PlatformService
JIRA-41,Data pipeline job failure in ETL,Medium,Security,PlatformService
JIRA-42,Intermittent data sync issue in Data Platform,Medium,API,PlatformService
JIRA-43,Authentication failure when logging in,Medium,Infrastructure,PlatformService
JIRA-44,Database deadlock issue,Critical,Security,PlatformService
JIRA-45,Platform service crash on high load,Low,Backend,PlatformService
JIRA-46,Payment setup failure for new users,Low,Infrastructure,PlatformService
JIRA-47,Data pipeline job failure in ETL,Critical,Database,PlatformService
JIRA-48,Registration form validation error,Medium,Security,PlatformService
JIRA-49,Schema migration causing backward compatibility issue,Critical,Backend,PlatformService
JIRA-50,Schema migration causing backward compatibility issue,High,Security,PlatformService
JIRA-51,Intermittent data sync issue in Data Platform,Critical,Infrastructure,PlatformService
JIRA-52,Payment setup failure for new users,Medium,Backend,PlatformService
JIRA-53,Payment setup failure for new users,High,Infrastructure,PlatformService
JIRA-54,Registration form validation error,Low,Database,PlatformService
JIRA-55,Platform service crash on high load,High,Security,PlatformService
JIRA-56,Database deadlock issue,Critical,Backend,PlatformService
JIRA-57,Data pipeline job failure in ETL,Medium,Infrastructure,PlatformService
JIRA-58,Billing API returning incorrect invoice amount,High,Backend,PlatformService
JIRA-59,API response time exceeding SLAs,Critical,Security,PlatformService
JIRA-60,Database deadlock issue,High,Frontend,PlatformService
JIRA-61,Data pipeline job failure in ETL,High,Security,PlatformService
JIRA-62,Database deadlock issue,Critical,Database,PlatformService
JIRA-63,Platform service crash on high load,Medium,Infrastructure,PlatformService
JIRA-64,Registration form validation error,Medium,Security,PlatformService
JIRA-65,Platform service crash on high load,Low,API,PlatformService
JIRA-66,Schema migration causing backward compatibility issue,High,API,PlatformService
JIRA-67,Data pipeline job failure in ETL,Medium,API,PlatformService
JIRA-68,Data pipeline job failure in ETL,High,Infrastructure,PlatformService
JIRA-69,Database deadlock issue,Low,Infrastructure,PlatformService
JIRA-70,Schema migration causing backward compatibility issue,High,API,PlatformService
JIRA-71,Schema migration causing backward compatibility issue,High,Frontend,PlatformService
JIRA-72,API response time exceeding SLAs,Low,API,PlatformService
JIRA-73,Platform service crash on high load,Critical,Frontend,PlatformService
JIRA-74,Database deadlock issue,High,Frontend,PlatformService
JIRA-75,Platform service crash on high load,Critical,Infrastructure,PlatformService
JIRA-76,Authentication failure when logging in,Medium,Backend,PlatformService
JIRA-77,Payment setup failure for new users,High,Database,PlatformService
JIRA-78,Database deadlock issue,High,Frontend,PlatformService
JIRA-79,Platform service crash on high load,High,Security,PlatformService
JIRA-80,Data pipeline job failure in ETL,Low,Database,PlatformService
JIRA-81,Billing API returning incorrect invoice amount,Medium,API,PlatformService
JIRA-82,Payment setup failure for new users,Medium,Database,PlatformService
JIRA-83,Intermittent data sync issue in Data Platform,Medium,Backend,PlatformService
JIRA-84,Authentication failure when logging in,Low,Database,PlatformService
JIRA-85,Database deadlock issue,Medium,Backend,PlatformService
JIRA-86,Payment setup failure for new users,Low,Security,PlatformService
JIRA-87,Schema migration causing backward compatibility issue,Low,API,PlatformService
JIRA-88,Authentication failure when logging in,Critical,Frontend,PlatformService
JIRA-89,API response time exceeding SLAs,High,Backend,PlatformService
JIRA-90,Data pipeline job failure in ETL,High,Backend,PlatformService
JIRA-91,Schema migration causing backward compatibility issue,Critical,Backend,PlatformService
JIRA-92,Schema migration causing backward compatibility issue,Low,API,PlatformService
JIRA-93,Data pipeline job failure in ETL,Critical,Database,PlatformService
JIRA-94,Payment setup failure for new users,Critical,Database,PlatformService
JIRA-95,Intermittent data sync issue in Data Platform,Low,Database,PlatformService
JIRA-96,Registration form validation error,High,Infrastructure,PlatformService
JIRA-97,Platform service crash on high load,Low,Security,PlatformService
JIRA-98,Platform service crash on high load,Medium,Database,PlatformService
JIRA-99,Payment setup failure for new users,Medium,Backend,PlatformService
JIRA-100,Schema migration causing backward compatibility issue,Medium,Database,PlatformService
JIRA-101,Data pipeline job failure in ETL,Medium,Security,PlatformService
JIRA-102,Payment setup failure for new users,Medium,Backend,PlatformService
JIRA-103,Payment setup failure for new users,Critical,Frontend,PlatformService
JIRA-104,Billing API returning incorrect invoice amount,Critical,Frontend,PlatformService
JIRA-105,Intermittent data sync issue in Data Platform,Medium,Infrastructure,PlatformService
JIRA-106,Intermittent data sync issue in Data Platform,Low,Database,PlatformService
JIRA-107,Schema migration causing backward compatibility issue,Low,Database,PlatformService
JIRA-108,API response time exceeding SLAs,High,API,PlatformService
JIRA-109,Platform service crash on high load,Low,Backend,PlatformService
JIRA-110,Schema migration causing backward compatibility issue,High,API,PlatformService
JIRA-111,Intermittent data sync issue in Data Platform,Medium,Security,PlatformService
JIRA-112,Schema migration causing backward compatibility issue,Critical,Security,PlatformService
JIRA-113,Authentication failure when logging in,Medium,Security,PlatformService
JIRA-114,Payment setup failure for new users,Critical,Backend,PlatformService
JIRA-115,Data pipeline job failure in ETL,High,Frontend,PlatformService
JIRA-116,Data pipeline job failure in ETL,Medium,API,PlatformService
JIRA-117,Data pipeline job failure in ETL,Medium,Backend,PlatformService
JIRA-118,Registration form validation error,Low,Database,PlatformService
JIRA-119,Payment setup failure for new users,High,Frontend,PlatformService
JIRA-120,Database deadlock issue,High,API,PlatformService
JIRA-121,Registration form validation error,Critical,API,PlatformService
JIRA-122,Intermittent data sync issue in Data Platform,Low,Database,PlatformService
JIRA-123,API response time exceeding SLAs,Medium,Backend,PlatformService
JIRA-124,Payment setup failure for new users,High,API,PlatformService
JIRA-125,Registration form validation error,Critical,Backend,PlatformService
JIRA-126,Authentication failure when logging in,Medium,API,PlatformService
JIRA-127,Schema migration causing backward compatibility issue,Medium,Database,PlatformService
JIRA-128,Billing API returning incorrect invoice amount,Low,Database,PlatformService
JIRA-129,Authentication failure when logging in,Low,Backend,PlatformService
JIRA-130,Registration form validation error,High,Security,PlatformService
JIRA-131,Intermittent data sync issue in Data Platform,Medium,Backend,PlatformService
JIRA-132,Data pipeline job failure in ETL,High,API,PlatformService
JIRA-133,Billing API returning incorrect invoice amount,Low,Security,PlatformService
JIRA-134,Registration form validation error,Medium,Database,PlatformService
JIRA-135,Database deadlock issue,Low,Backend,PlatformService
JIRA-136,Authentication failure when logging in,Low,API,PlatformService
JIRA-137,Schema migration causing backward compatibility issue,High,Security,PlatformService
JIRA-138,Registration form validation error,Medium,Infrastructure,PlatformService
JIRA-139,Payment setup failure for new users,High,Security,PlatformService
JIRA-140,Authentication failure when logging in,Medium,Database,PlatformService
JIRA-141,Payment setup failure for new users,Medium,API,PlatformService
JIRA-142,Registration form validation error,Critical,Security,PlatformService
JIRA-143,Intermittent data sync issue in Data Platform,High,Security,PlatformService
JIRA-144,Platform service crash on high load,High,Infrastructure,PlatformService
JIRA-145,Registration form validation error,Low,Infrastructure,PlatformService
JIRA-146,Database deadlock issue,Medium,API,PlatformService
JIRA-147,Authentication failure when logging in,High,API,PlatformService
JIRA-148,Billing API returning incorrect invoice amount,High,Frontend,PlatformService
JIRA-149,Platform service crash on high load,Low,Infrastructure,PlatformService
JIRA-150,API response time exceeding SLAs,Medium,Security,PlatformService
JIRA-151,Payment setup failure for new users,Medium,Security,PlatformService
JIRA-152,Authentication failure when logging in,Low,Infrastructure,PlatformService
JIRA-153,Data pipeline job failure in ETL,Critical,Security,PlatformService
JIRA-154,Registration form validation error,High,Frontend,PlatformService
JIRA-155,Registration form validation error,Critical,Infrastructure,PlatformService
JIRA-156,Data pipeline job failure in ETL,Low,Database,PlatformService
JIRA-157,Registration form validation error,Medium,Database,PlatformService
JIRA-158,Schema migration causing backward compatibility issue,High,Frontend,PlatformService
JIRA-159,Billing API returning incorrect invoice amount,Critical,Backend,PlatformService
JIRA-160,Data pipeline job failure in ETL,Medium,Frontend,PlatformService
JIRA-161,Database deadlock issue,Medium,Backend,PlatformService
JIRA-162,Schema migration causing backward compatibility issue,Medium,Security,PlatformService
JIRA-163,Platform service crash on high load,High,Frontend,PlatformService
JIRA-164,API response time exceeding SLAs,Critical,Database,PlatformService
JIRA-165,Database deadlock issue,Medium,API,PlatformService
JIRA-166,Payment setup failure for new users,Critical,Security,PlatformService
JIRA-167,API response time exceeding SLAs,Low,Security,PlatformService
JIRA-168,Authentication failure when logging in,High,Backend,PlatformService
JIRA-169,Registration form validation error,Medium,API,PlatformService
JIRA-170,Payment setup failure for new users,Low,Backend,PlatformService
JIRA-171,Billing API returning incorrect invoice amount,Low,Backend,PlatformService
JIRA-172,Data pipeline job failure in ETL,Medium,Backend,PlatformService
JIRA-173,API response time exceeding SLAs,High,Frontend,PlatformService
JIRA-174,Payment setup failure for new users,High,Frontend,PlatformService
JIRA-175,Authentication failure when logging in,Medium,Security,PlatformService
JIRA-176,Intermittent data sync issue in Data Platform,High,Backend,PlatformService
JIRA-177,API response time exceeding SLAs,High,Infrastructure,PlatformService
JIRA-178,Database deadlock issue,Medium,Database,PlatformService
JIRA-179,Database deadlock issue,Medium,API,PlatformService
JIRA-180,Platform service crash on high load,Critical,API,PlatformService
JIRA-181,Intermittent data sync issue in Data Platform,High,Backend,PlatformService
JIRA-182,Registration form validation error,Low,Security,PlatformService
JIRA-183,Data pipeline job failure in ETL,High,Security,PlatformService
JIRA-184,Intermittent data sync issue in Data Platform,Critical,Database,PlatformService
JIRA-185,Payment setup failure for new users,Medium,Backend,PlatformService
JIRA-186,Billing API returning incorrect invoice amount,Critical,Database,PlatformService
JIRA-187,Database deadlock issue,Critical,Backend,PlatformService
JIRA-188,Registration form validation error,Critical,Database,PlatformService
JIRA-189,Data pipeline job failure in ETL,Low,Backend,PlatformService
JIRA-190,Authentication failure when logging in,Medium,Infrastructure,PlatformService
JIRA-191,Registration form validation error,Critical,Infrastructure,PlatformService
JIRA-192,Payment setup failure for new users,Medium,Security,PlatformService
JIRA-193,Schema migration causing backward compatibility issue,High,Infrastructure,PlatformService
JIRA-194,Schema migration causing backward compatibility issue,High,API,PlatformService
JIRA-195,Data pipeline job failure in ETL,Low,Frontend,PlatformService
JIRA-196,Data pipeline job failure in ETL,Low,Frontend,PlatformService
JIRA-197,Intermittent data sync issue in Data Platform,High,Backend,PlatformService
JIRA-198,API response time exceeding SLAs,Medium,Database,PlatformService
JIRA-199,Registration form validation error,Medium,API,PlatformService
JIRA-200,Payment setup failure for new users,Low,Security,PlatformService
JIRA-201,Registration form validation error,Critical,Frontend,PlatformService
JIRA-202,Intermittent data sync issue in Data Platform,Low,API,PlatformService
JIRA-203,Payment setup failure for new users,High,Backend,PlatformService
JIRA-204,Billing API returning incorrect invoice amount,High,Frontend,PlatformService
JIRA-205,Intermittent data sync issue in Data Platform,High,Security,PlatformService
JIRA-206,Billing API returning incorrect invoice amount,High,API,PlatformService
JIRA-207,API response time exceeding SLAs,Low,Security,PlatformService
JIRA-208,Platform service crash on high load,Medium,Database,PlatformService
JIRA-209,Database deadlock issue,High,Security,PlatformService
JIRA-210,Billing API returning incorrect invoice amount,High,Frontend,PlatformService
JIRA-211,Registration form validation error,Critical,Frontend,PlatformService
JIRA-212,API response time exceeding SLAs,Low,Backend,PlatformService
JIRA-213,Data pipeline job failure in ETL,Medium,API,PlatformService
JIRA-214,Authentication failure when logging in,Medium,Backend,PlatformService
JIRA-215,Intermittent data sync issue in Data Platform,Critical,Database,PlatformService
JIRA-216,Intermittent data sync issue in Data Platform,High,Backend,PlatformService
JIRA-217,Billing API returning incorrect invoice amount,Low,Security,PlatformService
JIRA-218,Schema migration causing backward compatibility issue,Medium,Frontend,PlatformService
JIRA-219,Database deadlock issue,Medium,Infrastructure,PlatformService
JIRA-220,Billing API returning incorrect invoice amount,Medium,Infrastructure,PlatformService
JIRA-221,Data pipeline job failure in ETL,Critical,Security,PlatformService
JIRA-222,Schema migration causing backward compatibility issue,Critical,Frontend,PlatformService
JIRA-223,Platform service crash on high load,Low,Backend,PlatformService
JIRA-224,Database deadlock issue,Medium,Infrastructure,PlatformService
JIRA-225,Billing API returning incorrect invoice amount,Low,API,PlatformService
JIRA-226,Schema migration causing backward compatibility issue,Medium,API,PlatformService
JIRA-227,Authentication failure when logging in,Critical,Infrastructure,PlatformService
JIRA-228,API response time exceeding SLAs,Medium,Infrastructure,PlatformService
JIRA-229,Database deadlock issue,Medium,Frontend,PlatformService
JIRA-230,Database deadlock issue,Medium,Infrastructure,PlatformService
JIRA-231,Intermittent data sync issue in Data Platform,High,Security,PlatformService
JIRA-232,Data pipeline job failure in ETL,Low,Database,PlatformService
JIRA-233,API response time exceeding SLAs,Critical,Infrastructure,PlatformService
JIRA-234,Intermittent data sync issue in Data Platform,Medium,Security,PlatformService
JIRA-235,API response time exceeding SLAs,Medium,Backend,PlatformService
JIRA-236,Database deadlock issue,Medium,Backend,PlatformService
JIRA-237,Registration form validation error,Critical,Backend,PlatformService
JIRA-238,Platform service crash on high load,Low,Infrastructure,PlatformService
JIRA-239,API response time exceeding SLAs,Medium,Infrastructure,PlatformService
JIRA-240,Payment setup failure for new users,Critical,API,PlatformService
JIRA-241,Data pipeline job failure in ETL,Medium,Infrastructure,PlatformService
JIRA-242,Database deadlock issue,Medium,Security,PlatformService
JIRA-243,Payment setup failure for new users,High,Security,PlatformService
JIRA-244,Schema migration causing backward compatibility issue,High,Security,PlatformService
JIRA-245,Data pipeline job failure in ETL,High,Infrastructure,PlatformService
JIRA-246,Platform service crash on high load,High,Backend,PlatformService
JIRA-247,Billing API returning incorrect invoice amount,High,Security,PlatformService
JIRA-248,Payment setup failure for new users,Medium,Security,PlatformService
JIRA-249,Billing API returning incorrect invoice amount,Medium,Backend,PlatformService
JIRA-250,Database deadlock issue,High,Database,PlatformService
JIRA-251,Registration form validation error,Medium,Infrastructure,PlatformService
JIRA-252,Registration form validation error,Medium,Frontend,PlatformService
JIRA-253,Intermittent data sync issue in Data Platform,Critical,Security,PlatformService
JIRA-254,API response time exceeding SLAs,Medium,Database,PlatformService
JIRA-255,Payment setup failure for new users,Low,Backend,PlatformService
JIRA-256,Data pipeline job failure in ETL,Low,Database,PlatformService
JIRA-257,Data pipeline job failure in ETL,High,API,PlatformService
JIRA-258,Billing API returning incorrect invoice amount,Medium,Backend,PlatformService
JIRA-259,Data pipeline job failure in ETL,High,API,PlatformService
JIRA-260,Intermittent data sync issue in Data Platform,Medium,API,PlatformService
JIRA-261,Data pipeline job failure in ETL,Medium,Frontend,PlatformService
JIRA-262,Intermittent data sync issue in Data Platform,Low,Backend,PlatformService
JIRA-263,Registration form validation error,Medium,Backend,PlatformService
JIRA-264,Database deadlock issue,High,Frontend,PlatformService
JIRA-265,Billing API returning incorrect invoice amount,Low,Backend,PlatformService
JIRA-266,Billing API returning incorrect invoice amount,Medium,Database,PlatformService
JIRA-267,Authentication failure when logging in,Medium,API,PlatformService
JIRA-268,Platform service crash on high load,High,API,PlatformService
JIRA-269,Data pipeline job failure in ETL,Low,Security,PlatformService
JIRA-270,Platform service crash on high load,Critical,Database,PlatformService
JIRA-271,Intermittent data sync issue in Data Platform,High,Backend,PlatformService
JIRA-272,Platform service crash on high load,High,Frontend,PlatformService
JIRA-273,Registration form validation error,Medium,API,PlatformService
JIRA-274,Authentication failure when logging in,Critical,Security,PlatformService
JIRA-275,API response time exceeding SLAs,High,Security,PlatformService
JIRA-276,API response time exceeding SLAs,Low,Frontend,PlatformService
JIRA-277,Database deadlock issue,Critical,API,PlatformService
JIRA-278,Intermittent data sync issue in Data Platform,Low,Infrastructure,PlatformService
JIRA-279,Database deadlock issue,Medium,Database,PlatformService
JIRA-280,API response time exceeding SLAs,High,Frontend,PlatformService
JIRA-281,Platform service crash on high load,Low,API,PlatformService
JIRA-282,API response time exceeding SLAs,Medium,Database,PlatformService
JIRA-283,Registration form validation error,Critical,API,PlatformService
JIRA-284,Authentication failure when logging in,Low,Security,PlatformService
JIRA-285,Schema migration causing backward compatibility issue,Medium,API,PlatformService
JIRA-286,Authentication failure when logging in,Critical,Security,PlatformService
JIRA-287,Intermittent data sync issue in Data Platform,Low,Database,PlatformService
JIRA-288,API response time exceeding SLAs,Medium,Frontend,PlatformService
JIRA-289,Data pipeline job failure in ETL,High,API,PlatformService
JIRA-290,Registration form validation error,Low,Infrastructure,PlatformService
JIRA-291,Database deadlock issue,High,Security,PlatformService
JIRA-292,Intermittent data sync issue in Data Platform,Low,Security,PlatformService
JIRA-293,Payment setup failure for new users,Critical,Backend,PlatformService
JIRA-294,Registration form validation error,High,Database,PlatformService
JIRA-295,Database deadlock issue,Medium,Backend,PlatformService
JIRA-296,Authentication failure when logging in,High,Infrastructure,PlatformService
JIRA-297,Payment setup failure for new users,Low,Database,PlatformService
JIRA-298,Intermittent data sync issue in Data Platform,Critical,Database,PlatformService
JIRA-299,Billing API returning incorrect invoice amount,High,Database,PlatformService
JIRA-300,Platform service crash on high load,High,Frontend,PlatformService
JIRA-301,Database deadlock issue,Medium,Frontend,PlatformService
JIRA-302,Database deadlock issue,High,API,PlatformService
JIRA-303,Registration form validation error,Medium,Backend,PlatformService
JIRA-304,Billing API returning incorrect invoice amount,Medium,Database,PlatformService
JIRA-305,Schema migration causing backward compatibility issue,High,Database,PlatformService
JIRA-306,Payment setup failure for new users,Medium,API,PlatformService
JIRA-307,Database deadlock issue,Critical,Backend,PlatformService
JIRA-308,Data pipeline job failure in ETL,Medium,Database,PlatformService
JIRA-309,Data pipeline job failure in ETL,Medium,Infrastructure,PlatformService
JIRA-310,Registration form validation error,Critical,Infrastructure,PlatformService
JIRA-311,Database deadlock issue,High,Security,PlatformService
JIRA-312,Payment setup failure for new users,Critical,Backend,PlatformService
JIRA-313,Platform service crash on high load,Medium,Database,PlatformService
JIRA-314,Database deadlock issue,Medium,Security,PlatformService
JIRA-315,Payment setup failure for new users,High,Security,PlatformService
JIRA-316,Database deadlock issue,Medium,Security,PlatformService
JIRA-317,Payment setup failure for new users,Critical,Database,PlatformService
JIRA-318,Billing API returning incorrect invoice amount,Low,Backend,PlatformService
JIRA-319,Schema migration causing backward compatibility issue,High,Infrastructure,PlatformService
JIRA-320,Billing API returning incorrect invoice amount,Critical,Frontend,PlatformService
JIRA-321,Authentication failure when logging in,High,Security,PlatformService
